id	Gene	Description	Tissue	Up/Dn	Fold Change (log2)	P value
1	SYCN	syncollin	Pancreas	-	8.04	0
2	GP2	glycoprotein 2 (zymogen granule membrane)	Pancreas	-	7.99	0
3	ALB	albumin	Pancreas	-	7.95	0
4	SERPINI2	serpin peptidase inhibitor, clade I (pancpin), member 2	Pancreas	-	7.95	0
5	CELA2B	chymotrypsin-like elastase family, member 2B	Pancreas	-	7.74	0
6	PNLIPRP1	pancreatic lipase-related protein 1	Pancreas	-	7.66	0
7	PDIA2	protein disulfide isomerase family A, member 2	Pancreas	-	7.53	0
8	SPX	spexin hormone	Pancreas	-	7.53	0
9	CTRL	chymotrypsin-like	Pancreas	-	7.52	0
10	COL10A1	collagen, type X, alpha 1	Pancreas	+	7.52	0
11	CELP	carboxyl ester lipase pseudogene	Pancreas	-	7.5	0
12	COL5A1	collagen, type V, alpha 1	Pancreas	+	7.46	0
13	SULF1	sulfatase 1	Pancreas	+	7.38	0
14	CUZD1	CUB and zona pellucida-like domains 1	Pancreas	-	7.29	0
15	POSTN	periostin, osteoblast specific factor	Pancreas	+	7.24	0
16	COL1A1	collagen, type I, alpha 1	Pancreas	+	7.17	0
17	AQP8	aquaporin 8	Pancreas	-	7.14	0
18	CEACAM5	carcinoembryonic antigen-related cell adhesion molecule 5	Pancreas	+	7.1	0
19	COL11A1	collagen, type XI, alpha 1	Pancreas	+	7	0
20	CLPS	colipase, pancreatic	Pancreas	-	6.99	0
21	INHBA	inhibin, beta A	Pancreas	+	6.95	0
22	CPA2	carboxypeptidase A2 (pancreatic)	Pancreas	-	6.88	0
23	CTRC	chymotrypsin C (caldecrin)	Pancreas	-	6.87	0
24	CEACAM6	carcinoembryonic antigen-related cell adhesion molecule 6 (non-specific cross reacting antigen)	Pancreas	+	6.86	0
25	PLA2G1B	phospholipase A2, group IB (pancreas)	Pancreas	-	6.79	0.001
26	COL3A1	collagen, type III, alpha 1	Pancreas	+	6.78	0
27	SFRP4	secreted frizzled-related protein 4	Pancreas	+	6.76	0
28	CELA3A	chymotrypsin-like elastase family, member 3A	Pancreas	-	6.76	0.001
29	GNMT	glycine N-methyltransferase	Pancreas	-	6.74	0
30	COL1A2	collagen, type I, alpha 2	Pancreas	+	6.72	0
31	REG1P	regenerating islet-derived 1 pseudogene	Pancreas	-	6.71	0
32	S100P	S100 calcium binding protein P	Pancreas	+	6.67	0
33	CELA3B	chymotrypsin-like elastase family, member 3B	Pancreas	-	6.66	0.001
34	CEL	carboxyl ester lipase	Pancreas	-	6.63	0.001
35	CTHRC1	collagen triple helix repeat containing 1	Pancreas	+	6.6	0
36	CPA1	carboxypeptidase A1 (pancreatic)	Pancreas	-	6.56	0.001
37	VCAN	versican	Pancreas	+	6.51	0
38	TMEM52	transmembrane protein 52	Pancreas	-	6.4	0
39	REG1B	regenerating islet-derived 1 beta	Pancreas	-	6.35	0.002
40	CTSE	cathepsin E	Pancreas	+	6.3	0
41	GLS2	glutaminase 2 (liver, mitochondrial)	Pancreas	-	6.28	0
42	KLK1	kallikrein 1	Pancreas	-	6.26	0
43	GJB2	gap junction protein, beta 2, 26kDa	Pancreas	+	6.24	0
44	REG3G	regenerating islet-derived 3 gamma	Pancreas	-	6.17	0
45	PLAU	plasminogen activator, urokinase	Pancreas	+	6.15	0
46	COL5A2	collagen, type V, alpha 2	Pancreas	+	6.13	0
47	SLC39A5	solute carrier family 39 (zinc transporter), member 5	Pancreas	-	6.09	0
48	ERP27	endoplasmic reticulum protein 27	Pancreas	-	6.07	0
49	SEMA3C	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	Pancreas	+	6	0
50	PNLIP	pancreatic lipase	Pancreas	-	5.94	0.004
51	CXCL5	chemokine (C-X-C motif) ligand 5	Pancreas	+	5.92	0
52	CBS	cystathionine-beta-synthase	Pancreas	-	5.85	0
53	CLDN18	claudin 18	Pancreas	+	5.79	0.001
54	PNLIPRP2	pancreatic lipase-related protein 2	Pancreas	-	5.79	0.003
55	PM20D1	peptidase M20 domain containing 1	Pancreas	-	5.76	0
56	FGL1	fibrinogen-like 1	Pancreas	-	5.72	0
57	XAF1	XIAP associated factor 1	Pancreas	+	5.72	0
58	NTM	neurotrimin	Pancreas	+	5.71	0
59	PAIP2B	poly(A) binding protein interacting protein 2B	Pancreas	-	5.7	0
60	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	Pancreas	+	5.67	0
61	SAMSN1	SAM domain, SH3 domain and nuclear localization signals 1	Pancreas	+	5.66	0
62	SFN	stratifin	Pancreas	+	5.65	0
