id	Gene	Description	Tissue	Up/Dn	Fold Change (log2)	P value
1	SLC12A1	solute carrier family 12 (sodium/potassium/chloride transporter), member 1	Kidney	-	9.35	0
2	CALB1	calbindin 1, 28kDa	Kidney	-	8.95	0
3	FXYD4	FXYD domain containing ion transport regulator 4	Kidney	-	8.29	0
4	CLDN8	claudin 8	Kidney	-	8.2	0
5	KCNJ1	potassium channel, inwardly rectifying subfamily J, member 1	Kidney	-	8.2	0
6	NPHS2	nephrosis 2, idiopathic, steroid-resistant (podocin)	Kidney	-	8.18	0
7	MUC15	mucin 15, cell surface associated	Kidney	-	7.96	0
8	SCNN1G	sodium channel, non voltage gated 1 gamma subunit	Kidney	-	7.91	0
9	HPD	4-hydroxyphenylpyruvate dioxygenase	Kidney	-	7.78	0
10	FABP1	fatty acid binding protein 1, liver	Kidney	-	7.74	0
11	DNASE1	deoxyribonuclease I	Kidney	-	7.59	0
12	SLC7A13	solute carrier family 7 (anionic amino acid transporter), member 13	Kidney	-	7.29	0
13	ANGPTL4	angiopoietin-like 4	Kidney	+	7.25	0
14	TNFAIP6	tumor necrosis factor, alpha-induced protein 6	Kidney	+	7.16	0
15	ATP6V0A4	ATPase, H+ transporting, lysosomal V0 subunit a4	Kidney	-	7.13	0
16	PCP4	Purkinje cell protein 4	Kidney	-	7.13	0
17	KNG1	kininogen 1	Kidney	-	7.12	0
18	TYRP1	tyrosinase-related protein 1	Kidney	-	7.1	0
19	FGF9	fibroblast growth factor 9	Kidney	-	6.99	0
20	EGF	epidermal growth factor	Kidney	-	6.92	0
21	RALYL	RALY RNA binding protein-like	Kidney	-	6.81	0
22	PVALB	parvalbumin	Kidney	-	6.73	0
23	KCNJ10	potassium channel, inwardly rectifying subfamily J, member 10	Kidney	-	6.69	0
24	TMEM213	transmembrane protein 213	Kidney	-	6.64	0
25	SLC22A8	solute carrier family 22 (organic anion transporter), member 8	Kidney	-	6.58	0
26	IRX2	iroquois homeobox 2	Kidney	-	6.56	0
27	SLC26A7	solute carrier family 26 (anion exchanger), member 7	Kidney	-	6.56	0
28	SLC4A1	solute carrier family 4 (anion exchanger), member 1 (Diego blood group)	Kidney	-	6.53	0
29	GPC5	glypican 5	Kidney	-	6.53	0
30	RHCG	Rh family, C glycoprotein	Kidney	-	6.52	0
31	SOST	sclerostin	Kidney	-	6.51	0
32	SFRP1	secreted frizzled-related protein 1	Kidney	-	6.49	0
33	HEPACAM2	HEPACAM family member 2	Kidney	-	6.45	0
34	NELL1	neural EGFL like 1	Kidney	-	6.38	0
35	SERPINA5	serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5	Kidney	-	6.34	0
36	RAB25	RAB25, member RAS oncogene family	Kidney	-	6.32	0
