id	Gene	Description	Tissue	Up/Dn	Fold Change (log2)	P value
1	PI15	peptidase inhibitor 15	Breast	-	5.84	0
2	TOP2A	topoisomerase (DNA) II alpha	Breast	+	5.44	0.005
3	KRT14	keratin 14, type I	Breast	-	5.37	0.001
4	ARHGAP36	Rho GTPase activating protein 36	Breast	-	5.16	0.008
5	WIF1	WNT inhibitory factor 1	Breast	-	5.12	0.004
6	ATP1A2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	Breast	-	5.04	0
7	KRT14	keratin 14, type I	Breast	-	4.98	0
8	SCGB1D2	secretoglobin, family 1D, member 2	Breast	-	4.97	0.005
9	THSD7B	thrombospondin, type I, domain containing 7B	Breast	-	4.96	0
10	MUCL1	mucin-like 1	Breast	-	4.91	0.013
11	KRT5	keratin 5, type II	Breast	-	4.84	0.001
12	COL11A1	collagen, type XI, alpha 1	Breast	+	4.79	0.005
13	KRT16	keratin 16, type I	Breast	-	4.78	0
14	COL11A1	collagen, type XI, alpha 1	Breast	+	4.67	0.001
15	KRT5	keratin 5, type II	Breast	-	4.66	0.002
16	FAM3B	family with sequence similarity 3, member B	Breast	-	4.62	0
17	COL10A1	collagen, type X, alpha 1	Breast	+	4.54	0.003
18	GABRP	gamma-aminobutyric acid (GABA) A receptor, pi	Breast	-	4.52	0.002
19	CNN1	calponin 1, basic, smooth muscle	Breast	-	4.5	0.002
20	COL8A1	collagen, type VIII, alpha 1	Breast	+	4.45	0.007
21	SMYD1	SET and MYND domain containing 1	Breast	-	4.43	0
22	CTHRC1	collagen triple helix repeat containing 1	Breast	+	4.42	0.012
23	COL17A1	collagen, type XVII, alpha 1	Breast	-	4.39	0
24	SCGB3A1	secretoglobin, family 3A, member 1	Breast	-	4.38	0.01
25	SCGB2A2	secretoglobin, family 2A, member 2	Breast	-	4.38	0.005
26	MYBPC1	myosin binding protein C, slow type	Breast	-	4.38	0.001
27	MPPED2	metallophosphoesterase domain containing 2	Breast	-	4.37	0.002
28	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	Breast	-	4.31	0.001
29	PLEKHS1	pleckstrin homology domain containing, family S member 1	Breast	-	4.29	0.006
30	VTCN1	V-set domain containing T cell activation inhibitor 1	Breast	-	4.28	0.005
31	PIGR	polymeric immunoglobulin receptor	Breast	-	4.26	0.003
32	ASPM	abnormal spindle microtubule assembly	Breast	+	4.26	0.031
33	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	Breast	-	4.24	0
34	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	Breast	-	4.23	0.001
35	LYZ	lysozyme	Breast	+	4.19	0.017
36	KRT15	keratin 15, type I	Breast	-	4.19	0.01
37	TFPI2	tissue factor pathway inhibitor 2	Breast	-	4.17	0.043
38	KRT17	keratin 17, type I	Breast	-	4.16	0.001
39	COL1A2	collagen, type I, alpha 2	Breast	+	4.16	0.003
40	MUCL1	mucin-like 1	Breast	-	4.13	0.02
41	ACTA2	actin, alpha 2, smooth muscle, aorta	Breast	-	4.1	0.011
42	KRT17	keratin 17, type I	Breast	-	4.08	0.001
43	SAMD5	sterile alpha motif domain containing 5	Breast	-	4.05	0.004
44	COL1A2	collagen, type I, alpha 2	Breast	+	4.04	0.007
45	PDLIM3	PDZ and LIM domain 3	Breast	-	4.04	0.008
46	TFPI2	tissue factor pathway inhibitor 2	Breast	-	4.01	0.015
47	PPP4R4	protein phosphatase 4, regulatory subunit 4	Breast	-	4.01	0.009
48	ANGPT2	angiopoietin 2	Breast	+	3.99	0.02
49	ASPN	asporin	Breast	+	3.97	0.012
50	GNA13	guanine nucleotide binding protein (G protein), alpha 13	Breast	+	3.95	0.02
51	CLEC2B	C-type lectin domain family 2, member B	Breast	+	3.92	0.007
52	HMGCS2	3-hydroxy-3-methylglutaryl-CoA synthase 2 (mitochondrial)	Breast	-	3.91	0.014
53	CLIC6	chloride intracellular channel 6	Breast	-	3.86	0.015
54	DST	dystonin	Breast	-	3.86	0.006
55	RARRES1	retinoic acid receptor responder (tazarotene induced) 1	Breast	-	3.83	0.033
56	COL5A1	collagen, type V, alpha 1	Breast	+	3.83	0.015
57	ELF5	E74-like factor 5 (ets domain transcription factor)	Breast	-	3.81	0.001
58	CLEC7A	C-type lectin domain family 7, member A	Breast	+	3.8	0.001
59	FBN1	fibrillin 1	Breast	+	3.79	0.011
60	KRT16	keratin 16, type I	Breast	-	3.78	0.003
61	SOX10	SRY (sex determining region Y)-box 10	Breast	-	3.78	0
62	PIGR	polymeric immunoglobulin receptor	Breast	-	3.76	0.027
63	CHPT1	choline phosphotransferase 1	Breast	-	3.75	0.007
