	num_samples	pval_counts	pval	pval_std	fc	fc_std	gene_id
HMGA1	427	426			6.4121	0.9304	ENSG00000137309.19
GPRASP1	427	426	3.21891384403e-35	0.0043	-6.3544	1.021	ENSG00000198932.12
STARD9	427	426	4.67485884146e-41	0.0046	-4.9247	1.0399	ENSG00000159433.11
TSPYL2	427	426	6.27593188777e-14	0.0013	-5.2221	0.6639	ENSG00000184205.14
CSDC2	427	425	5.81280205292e-32	0.0067	-6.1996	1.6884	ENSG00000172346.14
LAMA2	427	425	2.04569492514e-19	0.0061	-5.8196	1.2966	ENSG00000196569.11
STAT5B	427	425	1.29895185433e-24	0.0044	-2.7563	0.5694	ENSG00000173757.9
ECT2	427	425			4.485	0.8415	ENSG00000114346.13
MARVELD2	427	425			5.4357	0.7068	ENSG00000152939.14
SCN7A	427	425	3.98335679565e-33	0.015	-7.8881	1.9816	ENSG00000136546.13
ABCA8	427	425	1.17540663883e-36	0.0115	-7.2232	1.6965	ENSG00000141338.13
ARMCX4	427	425	5.48163301785e-20	0.0046	-4.1764	0.8158	ENSG00000196440.11
NKTR	427	425	1.7345941896e-18	0.0034	-3.0631	0.7312	ENSG00000114857.17
CLDN3	427	425			9.0721	1.0686	ENSG00000165215.6
SYTL4	427	425	6.63545405256e-19	0.008	-5.2028	0.9065	ENSG00000102362.15
GOLGA8M	427	425			-6.8749	1.1486	ENSG00000188626.6
XPR1	427	424			2.8591	0.841	ENSG00000143324.13
IFFO1	427	424			-3.5564	1.0668	ENSG00000010295.19
HLF	427	424	1.12505098407e-20	0.0117	-6.3533	1.4631	ENSG00000108924.13
MAL2	427	424			7.9462	1.0225	ENSG00000147676.13
SYNE1	427	424	6.32511147005e-16	0.0027	-4.9553	0.9431	ENSG00000131018.22
ABCA10	427	424	6.61014573609e-22	0.0046	-7.4676	1.399	ENSG00000154263.17
EZH1	427	424	1.23737071566e-11	0.0047	-2.8765	0.5782	ENSG00000108799.12
ABCA9	427	424	1.80813935171e-25	0.0046	-6.6939	1.5895	ENSG00000154258.16
CACNA1H	427	424	5.1752120993e-45	0.0034	-6.3215	1.5057	ENSG00000196557.10
ZNF540	427	424			-5.0161	0.9653	ENSG00000171817.16
NEK9	427	424	1.10722686693e-22	0.0052	-2.1094	0.6813	ENSG00000119638.12
C1orf106	427	424			6.9365	0.9341	ENSG00000163362.10
PRR11	427	424			4.0786	0.816	ENSG00000068489.12
CNRIP1	427	423			-3.5272	1.0384	ENSG00000119865.8
KRT8	427	423			6.4867	1.0276	ENSG00000170421.11
MUM1L1	427	423	1.28107923462e-12	0.0059	-6.6018	1.7173	ENSG00000157502.12
SERINC2	427	423			6.0234	1.1984	ENSG00000168528.11
GOLGA8N	427	423	3.79123570874e-18	0.0097	-4.6025	0.95	ENSG00000232653.8
LSR	427	423			4.717	0.8585	ENSG00000105699.16
CLDN4	427	423			7.4137	0.9362	ENSG00000189143.9
ABCA6	427	423	5.75664344814e-13	0.0228	-6.1494	1.436	ENSG00000154262.12
SAMD10	427	423			5.2632	0.8377	ENSG00000130590.13
AASS	427	423	4.55473636784e-10	0.0047	-5.4203	1.249	ENSG00000008311.14
SLC1A7	427	423			-5.8312	1.3813	ENSG00000162383.11
GCKR	427	423			-5.9938	1.2264	ENSG00000084734.8
GSTM5	427	423	5.58755036538e-17	0.0472	-6.9824	1.5923	ENSG00000134201.10
SMPDL3B	427	423			7.2897	0.9445	ENSG00000130768.14
POU6F1	427	423			-3.3724	0.7528	ENSG00000184271.15
